Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,is_anomaly,revenue,cost,margin_pct,unit_price,discount_pct,order_year,order_month,order_quarter,ship_days,category_clean,sub_category_clean,region_clean,is_high_value_order,profit_tier
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,False,1706.184,1620.8748,5.0,189.576,20.0,2014,2014-06,Q2 2014,5,Furniture,Tables,West,True,Low
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,False,911.424,843.0672,7.500000000000001,227.856,20.0,2014,2014-06,Q2 2014,5,Technology,Phones,West,True,Low
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,False,15.552,10.108799999999999,35.0,5.184,20.0,2017,2017-04,Q2 2017,5,Office Supplies,Paper,South,False,High
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,False,407.976,275.3838,32.49999999999999,135.992,20.0,2016,2016-12,Q4 2016,5,Office Supplies,Binders,West,True,High
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,False,68.81,192.668,-180.0,13.762,80.0,2015,2015-11,Q4 2015,4,Office Supplies,Appliances,Central,False,Loss
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,False,2.544,6.359999999999999,-150.0,0.848,80.0,2015,2015-11,Q4 2015,4,Office Supplies,Binders,Central,False,Loss
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,False,665.88,652.5624,2.0,110.98,0.0,2014,2014-11,Q4 2014,7,Office Supplies,Storage,Central,True,Low
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,False,55.5,45.51,18.0,27.75,0.0,2014,2014-05,Q2 2014,2,Office Supplies,Storage,West,False,Medium
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,False,8.56,6.0776,28.999999999999996,4.28,0.0,2014,2014-08,Q3 2014,5,Office Supplies,Art,West,False,High
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,False,213.48,197.469,7.5,71.16,20.0,2014,2014-08,Q3 2014,5,Technology,Phones,West,True,Low
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,False,22.72,15.335999999999999,32.5,5.68,20.0,2014,2014-08,Q3 2014,5,Office Supplies,Binders,West,False,High
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,False,19.46,14.400400000000001,25.999999999999996,2.7800000000000002,0.0,2016,2016-12,Q4 2016,4,Office Supplies,Art,Central,False,High
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,False,60.34,44.6516,25.999999999999996,8.620000000000001,0.0,2016,2016-12,Q4 2016,4,Office Supplies,Appliances,Central,False,High
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,False,71.372,72.3916,-1.4285714285714286,35.686,30.0,2017,2017-07,Q3 2017,2,Furniture,Chairs,East,False,Loss
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,False,1044.63,804.3651000000001,23.0,348.21000000000004,0.0,2015,2015-09,Q3 2015,5,Furniture,Tables,West,True,High
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,False,11.648,7.425599999999999,36.25000000000001,5.824,20.0,2016,2016-01,Q1 2016,4,Office Supplies,Binders,West,False,High
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,False,90.57,78.79589999999999,13.0,30.189999999999998,0.0,2016,2016-01,Q1 2016,4,Technology,Accessories,West,False,Medium
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,False,3083.43,4748.4822,-54.0,440.48999999999995,50.0,2015,2015-09,Q3 2015,4,Furniture,Bookcases,East,True,Loss
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,False,9.618,16.6712,-73.33333333333334,4.809,70.0,2015,2015-09,Q3 2015,4,Office Supplies,Binders,East,False,Loss
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,False,124.2,108.675,12.5,41.4,20.0,2015,2015-09,Q3 2015,4,Furniture,Furnishings,East,False,Medium
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,False,3.264,2.1624,33.75,1.632,20.0,2015,2015-09,Q3 2015,4,Office Supplies,Envelopes,East,False,High
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,False,86.304,76.5948,11.249999999999998,14.384,20.0,2015,2015-09,Q3 2015,4,Office Supplies,Art,East,False,Medium
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,False,6.858,12.573,-83.33333333333334,1.143,70.0,2015,2015-09,Q3 2015,4,Office Supplies,Binders,East,False,Loss
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,False,15.76,12.214,22.499999999999996,7.88,20.0,2015,2015-09,Q3 2015,4,Office Supplies,Art,East,False,High
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,False,29.472,19.5252,33.75,9.824,20.0,2017,2017-10,Q4 2017,4,Office Supplies,Paper,Central,False,High
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,False,1097.544,974.0703000000001,11.249999999999998,156.792,20.0,2016,2016-12,Q4 2016,2,Technology,Phones,Central,True,Medium
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,False,190.92,338.883,-77.5,38.184,60.0,2016,2016-12,Q4 2016,2,Furniture,Furnishings,Central,False,Loss
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,False,113.328,77.91300000000001,31.25,12.592,20.0,2015,2015-12,Q4 2015,4,Office Supplies,Envelopes,Central,False,High
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,False,532.3992,579.3756,-8.823529411764707,177.4664,32.0,2015,2015-12,Q4 2015,4,Furniture,Bookcases,Central,True,Loss
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,False,212.058,227.20499999999998,-7.142857142857144,70.68599999999999,30.0,2015,2015-12,Q4 2015,4,Furniture,Chairs,Central,True,Loss
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,False,371.168,329.4116,11.25,92.792,20.0,2015,2015-12,Q4 2015,4,Technology,Phones,Central,True,Medium
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,False,147.168,130.6116,11.249999999999998,36.792,20.0,2017,2017-09,Q3 2017,5,Technology,Phones,Central,False,Medium
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,False,77.88,73.98599999999999,5.0,38.94,0.0,2016,2016-07,Q3 2016,5,Office Supplies,Storage,West,False,Low
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,False,95.616,86.0544,10.0,47.808,20.0,2017,2017-09,Q3 2017,4,Office Supplies,Storage,South,False,Medium
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,False,45.98,26.208599999999997,43.00000000000001,22.99,0.0,2016,2016-03,Q1 2016,2,Technology,Accessories,Central,False,High
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,False,17.46,9.2538,47.0,8.73,0.0,2016,2016-03,Q1 2016,2,Office Supplies,Binders,Central,False,High
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,False,211.96,203.48160000000001,4.0,52.99,0.0,2014,2014-10,Q4 2014,5,Office Supplies,Storage,Central,True,Low
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,False,45.0,40.05,11.0,15.0,0.0,2016,2016-06,Q2 2016,5,Technology,Accessories,East,False,Medium
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,False,21.8,15.696000000000002,27.999999999999996,10.9,0.0,2016,2016-06,Q2 2016,5,Technology,Phones,East,False,High
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,False,38.22,20.2566,47.0,6.37,0.0,2015,2015-04,Q2 2015,4,Office Supplies,Binders,Central,False,High
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,False,75.18,39.845400000000005,47.0,12.530000000000001,0.0,2015,2015-04,Q2 2015,4,Office Supplies,Labels,Central,False,High
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,False,6.16,3.2032000000000003,48.0,3.08,0.0,2015,2015-04,Q2 2015,4,Furniture,Furnishings,Central,False,High
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,False,89.99,72.89189999999999,19.0,89.99,0.0,2015,2015-04,Q2 2015,4,Furniture,Chairs,Central,False,Medium
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,False,15.26,9.0034,41.0,2.18,0.0,2016,2016-12,Q4 2016,6,Office Supplies,Fasteners,East,False,High
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,False,1029.95,731.2645,28.999999999999996,205.99,0.0,2016,2016-12,Q4 2016,6,Technology,Phones,East,True,High
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,False,208.56,156.42000000000002,25.0,34.76,0.0,2016,2016-06,Q2 2016,1,Office Supplies,Storage,East,False,High
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,False,32.4,16.848,48.0,6.4799999999999995,0.0,2016,2016-06,Q2 2016,1,Office Supplies,Paper,East,False,High
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,False,319.41,312.312,2.222222222222222,63.882000000000005,10.0,2016,2016-06,Q2 2016,1,Furniture,Chairs,East,True,Low
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,False,14.56,7.5712,48.0,7.28,0.0,2016,2016-06,Q2 2016,1,Office Supplies,Paper,East,False,High
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,False,30.0,26.7,11.0,15.0,0.0,2016,2016-06,Q2 2016,1,Technology,Accessories,East,False,Medium
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,False,48.48,32.117999999999995,33.75,12.12,20.0,2016,2016-06,Q2 2016,1,Office Supplies,Binders,East,False,High
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,False,1.68,0.84,50.0,1.68,0.0,2016,2016-06,Q2 2016,1,Office Supplies,Art,East,False,High
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,False,13.98,7.8288,44.0,6.99,0.0,2015,2015-11,Q4 2015,6,Technology,Accessories,West,False,High
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,False,25.824,16.4628,36.25,4.304,20.0,2015,2015-11,Q4 2015,6,Office Supplies,Binders,West,False,High
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,False,146.73,77.76689999999999,47.0,48.91,0.0,2015,2015-11,Q4 2015,6,Office Supplies,Paper,West,False,High
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,False,79.76,57.427200000000006,27.999999999999996,19.94,0.0,2015,2015-11,Q4 2015,6,Furniture,Furnishings,West,False,High
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,False,213.115,228.3375,-7.142857142857142,42.623000000000005,30.0,2015,2015-04,Q2 2015,5,Furniture,Chairs,Central,True,Loss
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,False,1113.024,1001.7215999999999,10.000000000000002,139.128,20.0,2014,2014-12,Q4 2014,5,Office Supplies,Art,West,True,Medium
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,False,167.968,104.97999999999999,37.5,41.992,20.0,2014,2014-12,Q4 2014,5,Technology,Phones,West,False,High
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,False,75.88,40.21639999999999,47.00000000000001,37.94,0.0,2016,2016-06,Q2 2016,2,Office Supplies,Paper,South,False,High
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,False,4.616,2.885,37.50000000000001,4.616,20.0,2016,2016-09,Q3 2016,5,Office Supplies,Binders,East,False,High
